Clock frequency is approx. 1000.0 MHz
Memory mountain (MB/sec)
    s1  s2  s3  s4  s5  s6  s7  s8  s9  s10 s11 s12 s13 s14 s15 
128m    10673   6195    4092    3065    2295    1874    1650    1466    1416    1317    1270    1187    1164    1083    1107    
64m 12609   7383    4932    3609    2695    2268    1918    1682    1532    1458    1370    1295    1254    1223    1206    
32m 11049   6772    4797    3567    2772    2311    1982    1718    1570    1479    1390    1323    1276    1249    1227    
16m 11120   7009    4917    3695    2995    2503    2119    1677    1664    1654    1621    1377    1097    1064    1036    
8m  8309    6432    5269    4349    3726    3086    2757    1868    1768    1818    1722    1649    1642    2140    2225    
4m  17131   13293   10739   10036   5624    5292    4756    4317    4316    4405    4276    3908    4007    4232    4151    
2m  20329   16080   13262   10601   8858    7884    6909    6132    5843    5635    5588    5394    5247    5124    5038    
1024k   22125   16721   13915   11258   9346    8084    7083    6302    6029    5772    5588    5535    5384    5275    5185    
512k    22811   17460   14593   11757   9738    8431    7386    6513    6298    6103    5986    5894    5801    5830    5820    
256k    25303   19651   18121   16198   14604   13050   11608   10330   10044   10145   9996    10113   10703   10507   10814   
128k    26351   21306   20844   19980   17906   15899   13588   12983   12730   12750   13328   13096   12478   12516   12627   
64k 26362   21223   20844   19321   16633   14524   13186   10981   11032   11259   10637   16062   11945   12931   21845   
32k 30682   29898   29360   28444   28004   27581   27215   25600   27576   26852   27073   28438   24706   24894   28737   
16k 30567   29050   28149   28055   26419   25755   24894   28444   28438   27300   26589   27300   28636   26591   26000   
